Date,Open,High,Low,Close,Adj Close,Volume,MA,Upper_Band1,Lower_Band1,Upper_Band2,Lower_Band2,Signal,Position,TPSLSignal,Returns,Cumulative_Returns,Open_Return
2019-03-26,1971.199951171875,1998.719970703125,1934.0799560546875,1946.8800048828125,1946.8800048828125,414492,1954.3679992675782,2048.0112853170376,1860.7247132181187,2141.6545713664973,1767.0814271686593,0,0,LSL,-0.0,1.1936585353936984,-0.041692600436684324
2019-03-27,1941.760009765625,2055.0400390625,1927.6800537109375,1976.3199462890625,1976.3199462890625,616588,1952.6079956054687,2045.4479307855745,1859.7680604253628,2138.2878659656803,1766.928125245257,0,0,,-0.0,1.1936585353936984,-0.01493503558010334
2019-03-28,1963.52001953125,1989.760009765625,1926.719970703125,1932.1600341796875,1932.1600341796875,408650,1948.7039978027344,2040.630073957026,1856.7779216484428,2132.5561501113175,1764.8518454941513,0,0,,0.0,1.1936585353936984,0.011206333252404166
2019-03-29,1896.9599609375,1907.8399658203125,1866.8800048828125,1872.6400146484375,1872.6400146484375,420966,1946.4,2039.684563398367,1853.1154366016333,2132.9691267967337,1759.8308732032665,0,0,,-0.0,1.1936585353936984,-0.033898334588735146
2019-04-01,1854.0799560546875,1867.52001953125,1832.9599609375,1839.3599853515625,1839.3599853515625,339645,1940.0960021972655,2036.2423881767218,1843.9496162178093,2132.388774156178,1747.8032302383533,-1,0,,-0.0,1.1936585353936984,-0.022604591433559196
2019-04-02,1845.760009765625,1854.719970703125,1825.9200439453125,1834.239990234375,1834.239990234375,293642,1932.9600036621093,2031.4930645081527,1834.426942816066,2130.0261253541958,1735.893881970023,0,-1,,0.004487371896715109,1.1990149251596982,-0.004487371896715109
2019-04-03,1804.800048828125,1874.239990234375,1799.6800537109375,1847.0400390625,1847.0400390625,367339,1923.5520080566407,2020.7835665402445,1826.320449573037,2118.015125023848,1729.0888910894332,0,-1,,0.022191379551397383,1.2256227204517072,-0.022191379551397383
2019-04-04,1836.800048828125,1859.8399658203125,1815.0400390625,1828.47998046875,1828.47998046875,296258,1909.344012451172,1997.8618259757359,1820.826198926608,2086.3796395002996,1732.3083854020442,0,-1,,-0.017730495974209504,1.2038918217408385,0.017730495974209504
2019-04-05,1806.0799560546875,1818.8800048828125,1790.0799560546875,1792.0,1792.0,328320,1892.6080139160156,1968.6232824671185,1816.5927453649126,2044.6385510182215,1740.5774768138097,-1,-1,,0.016724788739545637,1.2240266581247208,-0.016724788739545637
2019-04-08,1796.47998046875,1809.9200439453125,1779.52001953125,1783.6800537109375,1783.6800537109375,286189,1883.200018310547,1960.525540307748,1805.8744963133458,2037.8510623049492,1728.5489743161447,0,-1,,0.005315365775338199,1.2305328075314186,-0.005315365775338199
